squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
51522.0,3.0,0,0,61,9047.0,8,3,2012,1,1,632,5792,807,1,5,5154055.2
40259.0,8.0,0,0,25,25815.0,10,8,2003,0,0,2455,7709,864,1,8,4029000.3
,,1,0,45,,8,10,1994,1,0,1103,2097,657,1,4,4193646.4
9678.0,10.0,1,0,87,40138.0,5,9,2008,0,0,2142,7722,787,1,5,971236.8
13400.0,40.0,1,1,47,25105.0,5,2,2000,0,1,5660,5256,712,0,5,1351303.0
,,1,0,47,,10,3,2021,1,1,5264,6618,534,1,2,926287.1
39806.0,32.0,1,1,66,39652.0,6,10,2014,0,0,2890,3285,752,1,4,3990034.4
51585.0,70.0,0,1,8,89259.0,8,7,2010,0,1,268,1459,831,1,4,5163838.0
66847.0,50.0,0,1,33,63757.0,10,7,2011,1,1,7430,5936,246,0,1,6688898.1
46716.0,94.0,0,0,58,25303.0,8,5,2008,0,1,1361,6855,409,0,3,4674140.8
,,0,1,79,,5,1,2018,0,1,8054,4395,793,0,3,5822178.8
65280.0,11.0,0,1,28,23446.0,2,5,2019,0,0,4415,9342,358,0,5,6531738.9
2138.0,60.0,0,1,51,49527.0,3,5,2018,0,1,2916,662,653,0,2,217519.8
29788.0,61.0,0,0,68,65901.0,2,3,2011,1,1,6551,5740,782,0,1,2983377.1
74693.0,98.0,1,0,57,69975.0,6,3,1997,1,0,5655,5743,386,1,8,7476380.7
85705.0,30.0,1,0,24,21317.0,1,10,2006,0,0,984,743,614,0,0,8575077.6
52143.0,80.0,1,1,59,32275.0,8,5,2007,0,1,2386,7220,418,0,10,5225721.7
60721.0,42.0,0,1,9,46929.0,5,6,2005,1,0,68,4701,695,0,8,6077844.5
46945.0,63.0,1,0,50,74665.0,2,3,1993,1,0,9900,6468,652,0,9,4702996.3
73553.0,10.0,1,0,37,95315.0,5,6,2009,0,1,7905,4511,367,0,5,7362215.9
4385.0,55.0,1,1,56,98233.0,4,4,2006,0,0,8249,6409,357,0,5,445694.6
32204.0,3.0,0,1,3,24865.0,9,6,2001,0,0,3308,2931,654,0,9,3226023.1
67491.0,25.0,1,0,76,58705.0,10,4,1997,0,1,9439,6860,551,0,3,6753697.7
74291.0,88.0,0,0,38,12525.0,8,8,2004,0,1,217,8043,379,0,1,7433320.4
44436.0,20.0,0,0,9,73848.0,7,10,1992,0,0,5551,7874,465,0,2,4444815.2
20466.0,54.0,0,1,17,27952.0,9,8,1992,1,0,2320,6673,540,1,8,2050714.2
40439.0,54.0,0,0,20,43137.0,8,4,1991,0,1,2494,1546,732,1,6,4045359.1
20820.0,50.0,0,0,70,41819.0,4,3,2014,0,0,545,3335,767,0,4,2088001.4
26592.0,72.0,0,1,49,43397.0,8,9,1992,1,0,6614,1414,752,1,10,2667272.2
20572.0,37.0,1,0,13,25928.0,3,10,2004,0,0,5688,3570,259,0,3,2059597.4
68925.0,98.0,1,1,93,95854.0,8,8,1991,0,0,8068,5842,328,0,4,6906463.1
29689.0,45.0,1,0,22,40860.0,1,10,2014,1,1,8498,7641,347,1,7,2973788.4
20175.0,19.0,1,0,8,85910.0,7,10,2021,1,0,3148,5392,765,0,2,2022153.1
4596.0,97.0,1,0,96,29953.0,3,5,2014,1,0,3971,559,394,0,8,465858.4
82244.0,92.0,0,1,24,64217.0,7,5,2000,1,1,4073,6718,355,0,10,8228737.0
53371.0,41.0,0,1,97,39428.0,2,2,2003,0,0,3552,1530,822,0,6,5346532.3
34592.0,100.0,0,1,33,63748.0,1,7,1994,1,0,7356,2228,264,1,5,3465076.4
49411.0,29.0,0,1,8,21931.0,10,3,2002,0,1,3249,3056,969,0,1,4944414.2
18220.0,91.0,0,1,97,50508.0,8,4,2013,1,0,2604,5842,838,1,2,1833031.3
60450.0,94.0,1,0,16,35385.0,8,3,2018,0,1,406,7381,757,1,10,6049182.8
36559.0,78.0,0,0,47,38377.0,5,9,2007,0,0,3961,4825,325,0,3,3658559.7
79065.0,8.0,0,1,40,37390.0,4,8,2008,1,0,7266,5503,171,0,8,7912800.8
78383.0,89.0,0,1,49,20678.0,4,10,2001,0,0,7570,7903,641,1,5,7844579.1
49358.0,15.0,1,1,49,42812.0,9,10,2020,1,0,6110,1203,319,0,3,4943111.0
21722.0,58.0,0,0,25,79146.0,9,8,2020,0,1,9978,9816,951,1,5,2173827.0
52059.0,69.0,0,1,22,63749.0,6,2,2000,0,0,1308,1138,349,1,3,5210227.0
8096.0,90.0,1,0,27,30060.0,4,6,1992,0,1,2672,3488,762,0,1,815549.2
38674.0,79.0,1,1,97,49531.0,4,3,2015,1,0,2129,6397,990,1,5,3881695.5
24104.0,53.0,1,0,28,91305.0,1,1,2008,0,0,560,305,697,0,3,2417754.8
9089.0,43.0,0,0,58,9934.0,8,8,1997,0,1,1166,6357,151,1,0,914629.7
